11:14:27.623 place-ship: size=4 pos=(7,0) dir=vertical
11:14:27.631 shot: pos=(6,5) result=miss
11:14:27.631 enemy-shot: pos=(8,8) result=miss
11:14:27.631 shot: pos=(9,8) result=miss
11:14:27.631 enemy-shot: pos=(3,8) result=miss
11:14:27.631 shot: pos=(7,5) result=miss
11:14:27.631 enemy-shot: pos=(0,8) result=miss
11:14:27.631 shot: pos=(4,8) result=sunk ship-size=2
11:14:27.631 enemy-shot: pos=(8,4) result=miss
11:14:27.631 shot: pos=(9,3) result=miss
11:14:27.631 enemy-shot: pos=(2,7) result=miss
11:14:27.631 shot: pos=(3,7) result=miss
11:14:27.631 enemy-shot: pos=(1,6) result=miss
11:14:27.631 shot: pos=(8,3) result=miss
11:14:27.631 enemy-shot: pos=(9,6) result=sunk ship-size=1
11:14:27.631 shot: pos=(2,9) result=miss
11:14:27.631 enemy-shot: pos=(7,6) result=hit
11:14:27.631 shot: pos=(0,6) result=miss
11:14:27.631 enemy-shot: pos=(0,2) result=miss
11:14:27.631 shot: pos=(0,1) result=miss
11:14:27.631 enemy-shot: pos=(2,0) result=miss
11:14:27.631 shot: pos=(2,7) result=miss
11:14:27.631 enemy-shot: pos=(5,8) result=sunk ship-size=2
11:14:27.631 shot: pos=(4,0) result=miss
11:14:27.631 enemy-shot: pos=(3,6) result=miss
11:14:27.631 shot: pos=(8,6) result=miss
11:14:27.631 enemy-shot: pos=(7,0) result=hit
11:14:27.631 shot: pos=(2,3) result=miss
11:14:27.631 enemy-shot: pos=(7,5) result=miss
11:14:27.631 shot: pos=(0,3) result=miss
11:14:27.632 enemy-shot: pos=(5,1) result=miss
11:14:27.632 shot: pos=(7,3) result=sunk ship-size=2
11:14:27.632 enemy-shot: pos=(2,6) result=miss
11:14:27.632 shot: pos=(9,2) result=miss
11:14:27.632 enemy-shot: pos=(1,5) result=miss
11:14:27.632 shot: pos=(4,7) result=miss
11:14:27.632 enemy-shot: pos=(9,5) result=miss
11:14:27.632 shot: pos=(2,5) result=miss
11:14:27.632 enemy-shot: pos=(6,8) result=miss
11:14:27.632 shot: pos=(7,6) result=miss
11:14:27.632 enemy-shot: pos=(4,6) result=miss
11:14:27.632 shot: pos=(8,4) result=miss
11:14:27.632 enemy-shot: pos=(6,0) result=miss
11:14:27.632 shot: pos=(1,5) result=miss
11:14:27.632 enemy-shot: pos=(7,4) result=miss
11:14:27.632 shot: pos=(1,0) result=miss
11:14:27.632 enemy-shot: pos=(0,6) result=miss
11:14:27.632 shot: pos=(8,7) result=sunk ship-size=3
11:14:27.632 enemy-shot: pos=(0,5) result=miss
11:14:27.632 shot: pos=(3,9) result=miss
11:14:27.632 enemy-shot: pos=(9,9) result=miss
11:14:27.632 shot: pos=(1,6) result=sunk ship-size=1
11:14:27.632 enemy-shot: pos=(2,5) result=miss
11:14:27.632 shot: pos=(4,5) result=miss
11:14:27.632 enemy-shot: pos=(8,6) result=sunk ship-size=2
11:14:27.632 shot: pos=(0,2) result=miss
11:14:27.632 enemy-shot: pos=(1,3) result=miss
11:14:27.632 shot: pos=(0,0) result=miss
11:14:27.632 enemy-shot: pos=(4,1) result=sunk ship-size=3
11:14:27.632 shot: pos=(5,5) result=sunk ship-size=4
11:14:27.632 enemy-shot: pos=(3,0) result=sunk ship-size=1
11:14:27.632 shot: pos=(9,7) result=miss
11:14:27.632 enemy-shot: pos=(3,3) result=miss
11:14:27.632 shot: pos=(1,9) result=miss
11:14:27.632 enemy-shot: pos=(4,4) result=miss
11:14:27.632 shot: pos=(3,5) result=miss
11:14:27.632 enemy-shot: pos=(0,9) result=miss
11:14:27.633 shot: pos=(7,1) result=miss
11:14:27.633 enemy-shot: pos=(9,1) result=miss
11:14:27.633 shot: pos=(9,5) result=miss
11:14:27.633 enemy-shot: pos=(3,9) result=miss
11:14:27.633 shot: pos=(2,8) result=miss
11:14:27.633 enemy-shot: pos=(5,3) result=miss
11:14:27.633 shot: pos=(8,5) result=miss
11:14:27.633 enemy-shot: pos=(7,3) result=sunk ship-size=4
11:14:27.633 shot: pos=(5,8) result=miss
11:14:27.634 enemy-shot: pos=(7,9) result=sunk ship-size=2
11:14:27.634 shot: pos=(8,0) result=miss
11:14:27.634 enemy-shot: pos=(0,0) result=miss
11:14:27.634 shot: pos=(3,0) result=miss
11:14:27.634 enemy-shot: pos=(8,3) result=miss
11:14:27.634 shot: pos=(5,7) result=miss
11:14:27.634 enemy-shot: pos=(1,1) result=miss
11:14:27.634 shot: pos=(9,1) result=miss
11:14:27.634 enemy-shot: pos=(3,5) result=miss
11:14:27.634 shot: pos=(5,9) result=miss
11:14:27.634 enemy-shot: pos=(1,9) result=miss
11:14:27.634 shot: pos=(6,4) result=miss
11:14:27.634 enemy-shot: pos=(3,1) result=miss
11:14:27.634 shot: pos=(0,9) result=sunk ship-size=1
11:14:27.634 game-over: result=win total-shots=100 enemy-total-shots=99
11:14:27.634 enemy-ship: size=4 pos=(5,3) dir=vertical
11:14:27.635 enemy-ship: size=3 pos=(6,7) dir=horizontal
11:14:27.635 enemy-ship: size=3 pos=(3,2) dir=horizontal
11:14:27.635 enemy-ship: size=2 pos=(4,8) dir=vertical
11:14:27.635 enemy-ship: size=2 pos=(6,3) dir=horizontal
11:14:27.635 enemy-ship: size=2 pos=(1,2) dir=horizontal
11:14:27.635 enemy-ship: size=1 pos=(4,4) dir=horizontal
11:14:27.635 enemy-ship: size=1 pos=(0,7) dir=horizontal
11:14:27.635 enemy-ship: size=1 pos=(0,9) dir=horizontal
11:14:27.635 enemy-ship: size=1 pos=(1,6) dir=horizontal
